period_start,period_end,namespace,persistentvolumeclaim_usage_bytes
2020-02-09 09:00:00 +0000 UTC,2020-02-09 10:00:00 +0000 UTC,openshift-logging,12401016971264.000000
2020-02-09 09:00:00 +0000 UTC,2020-02-09 10:00:00 +0000 UTC,openshift-metering,1693286400.000000
2020-02-09 09:00:00 +0000 UTC,2020-02-09 10:00:00 +0000 UTC,tnhlex-dev,20292177920.000000
2020-02-09 10:00:00 +0000 UTC,2020-02-09 11:00:00 +0000 UTC,openshift-logging,12454654418944.000000
2020-02-09 10:00:00 +0000 UTC,2020-02-09 11:00:00 +0000 UTC,openshift-metering,1693286400.000000
2020-02-09 10:00:00 +0000 UTC,2020-02-09 11:00:00 +0000 UTC,tnhlex-dev,20303552512.000000
2020-02-09 11:00:00 +0000 UTC,2020-02-09 12:00:00 +0000 UTC,openshift-logging,12565707796480.000000
2020-02-09 11:00:00 +0000 UTC,2020-02-09 12:00:00 +0000 UTC,openshift-metering,1705918464.000000
2020-02-09 11:00:00 +0000 UTC,2020-02-09 12:00:00 +0000 UTC,tnhlex-dev,20315041792.000000
2020-02-09 12:00:00 +0000 UTC,2020-02-09 13:00:00 +0000 UTC,openshift-logging,12675078250496.000000
2020-02-09 12:00:00 +0000 UTC,2020-02-09 13:00:00 +0000 UTC,openshift-metering,1756446720.000000
2020-02-09 12:00:00 +0000 UTC,2020-02-09 13:00:00 +0000 UTC,tnhlex-dev,20326617088.000000
2020-02-09 13:00:00 +0000 UTC,2020-02-09 14:00:00 +0000 UTC,openshift-logging,12642141630464.000000
2020-02-09 13:00:00 +0000 UTC,2020-02-09 14:00:00 +0000 UTC,openshift-metering,1756446720.000000
2020-02-09 13:00:00 +0000 UTC,2020-02-09 14:00:00 +0000 UTC,tnhlex-dev,20338040832.000000
2020-02-09 14:00:00 +0000 UTC,2020-02-09 15:00:00 +0000 UTC,openshift-logging,12675744518144.000000
2020-02-09 14:00:00 +0000 UTC,2020-02-09 15:00:00 +0000 UTC,openshift-metering,1756446720.000000
2020-02-09 14:00:00 +0000 UTC,2020-02-09 15:00:00 +0000 UTC,tnhlex-dev,20010180608.000000
2020-02-09 15:00:00 +0000 UTC,2020-02-09 16:00:00 +0000 UTC,openshift-logging,12818311020544.000000
2020-02-09 15:00:00 +0000 UTC,2020-02-09 16:00:00 +0000 UTC,openshift-metering,1756446720.000000
2020-02-09 15:00:00 +0000 UTC,2020-02-09 16:00:00 +0000 UTC,tnhlex-dev,20360962048.000000
2020-02-09 16:00:00 +0000 UTC,2020-02-09 17:00:00 +0000 UTC,openshift-logging,12841436426240.000000
2020-02-09 16:00:00 +0000 UTC,2020-02-09 17:00:00 +0000 UTC,openshift-metering,1756446720.000000
2020-02-09 16:00:00 +0000 UTC,2020-02-09 17:00:00 +0000 UTC,tnhlex-dev,20372357120.000000
2020-02-09 17:00:00 +0000 UTC,2020-02-09 18:00:00 +0000 UTC,openshift-logging,12838429188096.000000
2020-02-09 17:00:00 +0000 UTC,2020-02-09 18:00:00 +0000 UTC,openshift-metering,1801711616.000000
2020-02-09 17:00:00 +0000 UTC,2020-02-09 18:00:00 +0000 UTC,tnhlex-dev,20383817728.000000
2020-02-09 18:00:00 +0000 UTC,2020-02-09 19:00:00 +0000 UTC,openshift-logging,12939305160704.000000
2020-02-09 18:00:00 +0000 UTC,2020-02-09 19:00:00 +0000 UTC,openshift-metering,1819607040.000000
2020-02-09 18:00:00 +0000 UTC,2020-02-09 19:00:00 +0000 UTC,tnhlex-dev,20395266048.000000
2020-02-09 19:00:00 +0000 UTC,2020-02-09 20:00:00 +0000 UTC,openshift-logging,12992863244288.000000
2020-02-09 19:00:00 +0000 UTC,2020-02-09 20:00:00 +0000 UTC,openshift-metering,1819607040.000000
2020-02-09 19:00:00 +0000 UTC,2020-02-09 20:00:00 +0000 UTC,tnhlex-dev,20406689792.000000
2020-02-09 20:00:00 +0000 UTC,2020-02-09 21:00:00 +0000 UTC,openshift-logging,13051423879168.000000
2020-02-09 20:00:00 +0000 UTC,2020-02-09 21:00:00 +0000 UTC,openshift-metering,1819607040.000000
2020-02-09 20:00:00 +0000 UTC,2020-02-09 21:00:00 +0000 UTC,tnhlex-dev,20418068480.000000
2020-02-09 21:00:00 +0000 UTC,2020-02-09 22:00:00 +0000 UTC,openshift-logging,13109621501952.000000
2020-02-09 21:00:00 +0000 UTC,2020-02-09 22:00:00 +0000 UTC,openshift-metering,1819607040.000000
2020-02-09 21:00:00 +0000 UTC,2020-02-09 22:00:00 +0000 UTC,tnhlex-dev,20429484032.000000
2020-02-09 22:00:00 +0000 UTC,2020-02-09 23:00:00 +0000 UTC,openshift-logging,13197131243520.000000
